Frequency (MHz),Intensity,Center Freq,Cavity Position
11971.65,2.4689910787856206e-05,11981.5,24.275102306883824
11971.7,2.080679769278504e-05,,
11971.75,1.7927028238773346e-05,,
11971.8,2.7964586479356512e-05,,
11971.85,1.465788773202803e-05,,
11971.9,8.758371222938877e-06,,
11971.95,1.1875256859639194e-05,,
11972.0,7.958948117448017e-06,,
11972.05,2.1617846869048662e-05,,
11972.1,2.2098638510215096e-05,,
11972.15,1.7617803678149357e-05,,
11972.2,1.3479004337568767e-05,,
11972.25,1.0195959475822747e-05,,
11972.3,1.9886378140654415e-05,,
11972.35,1.4737264791619964e-05,,
11972.4,1.8269465726916678e-05,,
11972.45,3.270022352808155e-05,,
11972.5,3.228045170544647e-05,,
11972.55,2.022052649408579e-05,,
11972.6,6.702174687234219e-06,,
11972.65,5.6969788602145854e-06,,
11972.7,1.0036224921350367e-05,,
11972.75,1.8107732103089802e-05,,
11972.8,1.736619924486149e-05,,
11972.85,2.77657964034006e-05,,
11972.9,3.869071224471554e-05,,
11972.95,3.7032499676570296e-05,,
11973.0,2.399262120889034e-05,,
11973.05,2.385667903581634e-05,,
11973.1,1.5620855265296996e-05,,
11973.15,1.2563890777528286e-05,,
11973.2,2.3766926460666582e-05,,
11973.25,1.8403954527457245e-05,,
11973.3,2.281591332575772e-05,,
11973.35,3.08100352413021e-05,,
11973.4,1.343205713055795e-05,,
11973.45,1.949843681359198e-05,,
11973.5,3.9753496821504086e-05,,
11973.55,3.7195532058831304e-05,,
11973.6,2.3033016987028532e-05,,
11973.65,1.0482125617272686e-05,,
11973.7,1.3059438970230985e-05,,
11973.75,3.5027394915232435e-05,,
11973.8,4.188412640360184e-05,,
11973.85,2.6966365112457424e-05,,
11973.9,9.21076389204245e-06,,
11973.95,1.0340861990698613e-05,,
11974.0,2.7794889319920912e-05,,
11974.05,2.5721517886267975e-05,,
11974.1,2.3619832063559443e-05,,
11974.15,3.8477930502267554e-05,,
11974.2,3.049322731385473e-05,,
11974.25,1.533234171802178e-05,,
11974.3,3.0196782972780056e-05,,
11974.35,1.911197068693582e-05,,
11974.4,2.4215845769504085e-05,,
11974.45,4.336065467214212e-05,,
11974.5,2.345922803215217e-05,,
11974.55,3.061215466004796e-05,,
11974.6,5.65718328289222e-05,,
11974.65,4.753598477691412e-05,,
11974.7,2.3577889805892482e-05,,
11974.75,1.4176022887113504e-05,,
11974.8,2.8277887395233847e-05,,
11974.85,3.961049878853373e-05,,
11974.9,3.4350232454016805e-05,,
11974.95,2.073620453302283e-05,,
11975.0,9.694140317151323e-06,,
11975.05,2.9763516067760065e-05,,
11975.1,3.550634573912248e-05,,
11975.15,1.681853063928429e-05,,
11975.2,1.1894047929672524e-05,,
11975.25,3.967921202274738e-06,,
11975.3,2.370172478549648e-05,,
11975.35,4.2107920307898894e-05,,
11975.4,5.640862218569964e-05,,
11975.45,6.739207310602069e-05,,
11975.5,6.549135287059471e-05,,
11975.55,4.8749814595794305e-05,,
11975.6,3.833844675682485e-05,,
11975.65,2.2685710064251907e-05,,
11975.7,8.99080646377115e-07,,
11975.75,8.420670383202378e-06,,
11975.8,2.50177090492798e-05,,
11975.85,2.660678728716448e-05,,
11975.9,5.861654699401697e-06,,
11975.95,1.9720804630196653e-05,,
11976.0,2.293818943144288e-05,,
11976.05,1.3416507499641739e-05,,
11976.1,1.3080384633212816e-05,,
11976.15,2.5480378099018708e-05,,
11976.2,1.9189737940905616e-05,,
11976.25,4.188957063888665e-06,,
11976.3,1.7468039004597813e-05,,
11976.35,1.7529599062982015e-05,,
11976.4,1.2655409591388889e-05,,
11976.45,3.2962400382530177e-06,,
11976.5,1.0443505743751302e-05,,
11976.55,1.6470767150167376e-05,,
11976.6,5.2775074436794966e-05,,
11976.65,7.539706712123007e-05,,
11976.7,6.25216489424929e-05,,
11976.75,3.714108243002556e-05,,
11976.8,3.20685539918486e-05,,
11976.85,5.281242192722857e-05,,
11976.9,6.817790563218296e-05,,
11976.95,5.3966785344528034e-05,,
11977.0,2.7191385015612468e-05,,
11977.05,3.7755435187136754e-05,,
11977.1,2.144153040717356e-05,,
11977.15,5.777462138212286e-05,,
11977.2,9.873806266114116e-05,,
11977.25,6.15541503066197e-05,,
11977.3,1.3498657608579379e-05,,
11977.35,4.1556635551387444e-05,,
11977.4,2.3897764549474232e-05,,
11977.45,5.3596293582813814e-05,,
11977.5,6.52353628538549e-05,,
11977.55,4.81239112559706e-05,,
11977.6,2.5043020286830142e-05,,
11977.65,2.7774687623605132e-05,,
11977.7,4.024647569167428e-05,,
11977.75,3.5532870242604986e-05,,
11977.8,2.313352160854265e-05,,
11977.85,4.276633626432158e-05,,
11977.9,5.281535777612589e-05,,
11977.95,3.83410879294388e-05,,
11978.0,3.8012007280485705e-05,,
11978.05,5.285456427372992e-05,,
11978.1,6.98217554599978e-05,,
11978.15,7.614694914082065e-05,,
11978.2,6.1065933550708e-05,,
11978.25,4.044374691147823e-06,,
11978.3,7.767730858176947e-05,,
11978.35,0.00010874280269490555,,
11978.4,5.116052125231363e-05,,
11978.45,3.1258594390237704e-05,,
11978.5,6.249853322515264e-05,,
11978.55,5.3731604566564783e-05,,
11978.6,5.1390215958235785e-05,,
11978.65,5.731868805014528e-05,,
11978.7,3.689398363349028e-05,,
11978.75,2.521423994039651e-06,,
11978.8,1.6227753803832456e-05,,
11978.85,2.5069026378332637e-05,,
11978.9,3.7368150515249e-05,,
11978.95,3.4178283385699615e-05,,
11979.0,3.961292532039806e-05,,
11979.05,1.1315440133330412e-05,,
11979.1,4.88350196974352e-05,,
11979.15,8.430451271124184e-05,,
11979.2,6.051595482858829e-05,,
11979.25,3.7327165046008304e-05,,
11979.3,3.442594243097119e-05,,
11979.35,2.137081537512131e-05,,
11979.4,2.0549761757138185e-05,,
11979.45,3.1216051866067573e-05,,
11979.5,5.021933975513093e-05,,
11979.55,5.5661115766270086e-05,,
11979.6,4.6308043238241225e-05,,
11979.65,4.1919294744729996e-05,,
11979.7,4.720589640783146e-05,,
11979.75,4.2693427531048656e-05,,
11979.8,1.9795066691585816e-05,,
11979.85,6.036714694346301e-05,,
11979.9,7.994301267899573e-05,,
11979.95,5.389692887547426e-05,,
