Frequency (MHz),Intensity,Center Freq,Cavity Position
12010.15,2.595513615233358e-05,12020.0,25.226296819062117
12010.2,2.5177947463816963e-05,,
12010.25,3.142921923426911e-05,,
12010.3,3.357793320901692e-05,,
12010.35,2.0272069377824664e-05,,
12010.4,1.3124084944138303e-05,,
12010.45,2.4606461010989733e-05,,
12010.5,1.5796880688867532e-05,,
12010.55,5.640284598484868e-06,,
12010.6,1.939429967023898e-05,,
12010.65,3.915721026714891e-05,,
12010.7,4.082762825419195e-05,,
12010.75,2.24231062020408e-05,,
12010.8,1.0537865819060244e-05,,
12010.85,2.0953166313120164e-05,,
12010.9,3.467388160061091e-05,,
12010.95,1.4724580069014337e-05,,
12011.0,1.0843742529687006e-05,,
12011.05,1.2695532859652303e-05,,
12011.1,6.336132173601072e-06,,
12011.15,9.055196642293595e-06,,
12011.2,1.3627966836793348e-05,,
12011.25,1.1318043107166886e-05,,
12011.3,2.0281386241549626e-05,,
12011.35,1.2426436114765238e-05,,
12011.4,1.8848459149012342e-05,,
12011.45,3.498370642773807e-05,,
12011.5,3.245651168981567e-05,,
12011.55,2.227784352726303e-05,,
12011.6,3.1221730750985444e-05,,
12011.65,2.691797271836549e-05,,
12011.7,2.9720988095505163e-05,,
12011.75,2.8664449928328395e-05,,
12011.8,3.081407703575678e-05,,
12011.85,3.1015904824016616e-05,,
12011.9,1.986906136153266e-05,,
12011.95,2.932929237431381e-05,,
12012.0,2.9130891562090255e-05,,
12012.05,2.1658974219462834e-05,,
12012.1,3.290819950052537e-05,,
12012.15,4.27998456871137e-05,,
12012.2,3.7319972761906683e-05,,
12012.25,1.7901060346048325e-05,,
12012.3,3.7168267681408906e-06,,
12012.35,7.800677849445492e-06,,
12012.4,7.735769941064063e-06,,
12012.45,2.890227915486321e-05,,
12012.5,4.354380871518515e-05,,
12012.55,3.406804898986593e-05,,
12012.6,1.4169585483614355e-05,,
12012.65,9.293857146985829e-06,,
12012.7,2.090401903842576e-05,,
12012.75,3.0619234166806564e-05,,
12012.8,2.9409984563244507e-05,,
12012.85,1.9993763999082148e-05,,
12012.9,6.260386271605967e-06,,
12012.95,1.4269178791437298e-05,,
12013.0,2.4623355784569867e-05,,
12013.05,1.7463140466134064e-05,,
12013.1,1.872290340543259e-05,,
12013.15,4.329455259721726e-05,,
12013.2,5.041475742473267e-05,,
12013.25,3.743409979506396e-05,,
12013.3,1.6354844774468802e-05,,
12013.35,4.6395425670198165e-06,,
12013.4,8.912547855288722e-06,,
12013.45,2.7903126465389505e-05,,
12013.5,3.76436764781829e-05,,
12013.55,3.0762072128709406e-05,,
12013.6,1.5040043763292488e-05,,
12013.65,7.753916179353837e-06,,
12013.7,1.9177594367647544e-05,,
12013.75,2.0539398974506184e-05,,
12013.8,2.5018860469572246e-05,,
12013.85,3.93474219890777e-05,,
12013.9,4.471011197892949e-05,,
12013.95,2.1214618755038828e-05,,
12014.0,2.1170448235352524e-05,,
12014.05,3.3184143831022084e-05,,
12014.1,2.6291099857189693e-05,,
12014.15,2.6295563657185994e-05,,
12014.2,7.495285899494775e-06,,
12014.25,1.3939810742158443e-05,,
12014.3,2.3114318537409417e-05,,
12014.35,3.4000604500761256e-05,,
12014.4,4.7434805310331285e-05,,
12014.45,4.6216926421038806e-05,,
12014.5,3.1689552997704595e-05,,
