Frequency (MHz),Intensity,Center Freq,Cavity Position
11806.65,4.790362072526477e-05,11816.5,20.1715544325944
11806.7,4.129383887629956e-05,,
11806.75,3.3224434446310624e-05,,
11806.8,2.8991184080950916e-05,,
11806.85,2.6788951799971983e-05,,
11806.9,1.6633062841719948e-05,,
11806.95,1.521578542451607e-05,,
11807.0,1.9732700820895843e-05,,
11807.05,1.3845928151567932e-05,,
11807.1,2.0359262634883635e-05,,
11807.15,3.160561027470976e-05,,
11807.2,2.677025622688234e-05,,
11807.25,2.2330459614749998e-05,,
11807.3,4.402947160997428e-05,,
11807.35,4.470932617550716e-05,,
11807.4,3.0795170459896326e-05,,
11807.45,2.4869430490070954e-05,,
11807.5,1.6738926206016913e-05,,
11807.55,9.191904609906487e-06,,
11807.6,1.607645390322432e-05,,
11807.65,1.658943983784411e-05,,
11807.7,1.5638510376447812e-05,,
11807.75,1.2181014426460024e-05,,
11807.8,9.063836841960438e-06,,
11807.85,3.451732118264772e-05,,
11807.9,5.844251063535921e-05,,
11807.95,5.222558684181422e-05,,
11808.0,1.5292096577468328e-05,,
11808.05,2.9843051379430108e-05,,
11808.1,4.1526902350597084e-05,,
11808.15,2.447916085657198e-05,,
11808.2,1.4035202184459195e-05,,
11808.25,3.083525371039286e-05,,
11808.3,2.3401145881507546e-05,,
11808.35,2.914936703746207e-05,,
11808.4,4.4003645598422736e-05,,
11808.45,3.80018464056775e-05,,
11808.5,2.4605478756711818e-05,,
11808.55,2.1205043594818562e-05,,
11808.6,1.812912705645431e-05,,
11808.65,1.9177201465936378e-05,,
11808.7,1.4959769032429904e-05,,
11808.75,1.2209884516778402e-05,,
11808.8,3.3061805879697204e-06,,
11808.85,6.441486220865045e-06,,
11808.9,6.8147551246511284e-06,,
11808.95,1.3687973478226922e-05,,
11809.0,2.765557110251393e-05,,
11809.05,3.270030356361531e-05,,
11809.1,3.279432712588459e-05,,
11809.15,3.116440348094329e-05,,
11809.2,1.983219408430159e-05,,
11809.25,3.0377625080291182e-05,,
11809.3,6.66440901113674e-05,,
11809.35,7.651041232747957e-05,,
11809.4,4.1666913602966815e-05,,
11809.45,4.8662663175491616e-05,,
11809.5,6.490335363196209e-05,,
11809.55,3.94486341974698e-05,,
11809.6,4.449474727152847e-05,,
11809.65,4.9319711251882836e-05,,
11809.7,2.4573744667577557e-05,,
11809.75,1.2917013009428047e-05,,
11809.8,3.4280670661246404e-05,,
11809.85,4.7322388127213344e-05,,
11809.9,4.7996949433581904e-05,,
11809.95,3.762847700272687e-05,,
11810.0,2.7271917133475654e-05,,
11810.05,4.519722642726265e-05,,
11810.1,6.398559344233945e-05,,
11810.15,5.842532846145332e-05,,
11810.2,4.6423989260802045e-05,,
11810.25,3.909676888724789e-05,,
11810.3,2.8572994779096916e-05,,
11810.35,4.627947055269033e-05,,
11810.4,5.197845530346967e-05,,
11810.45,2.7562604373088107e-05,,
11810.5,1.13642709038686e-05,,
11810.55,1.8075610569212586e-05,,
11810.6,1.8454555174685083e-05,,
11810.65,1.5005760360509157e-05,,
11810.7,1.6958741980488412e-05,,
11810.75,1.2800715921912342e-05,,
11810.8,2.0869994841632433e-05,,
11810.85,3.705029666889459e-05,,
11810.9,3.407155236345716e-05,,
11810.95,1.529019391455222e-05,,
11811.0,1.7714330169837922e-05,,
11811.05,4.7609632019884884e-05,,
11811.1,8.059189713094383e-05,,
11811.15,8.906597213353962e-05,,
11811.2,7.01399112585932e-05,,
11811.25,4.352279211161658e-05,,
11811.3,6.168922845972702e-05,,
11811.35,8.940330008044839e-05,,
11811.4,7.324631587835029e-05,,
11811.45,4.280249777366407e-05,,
11811.5,4.3398998968768865e-05,,
11811.55,4.9711095925886184e-05,,
11811.6,4.209984763292596e-05,,
11811.65,5.7923884014599025e-05,,
11811.7,7.554540206911042e-05,,
11811.75,4.03007616114337e-05,,
11811.8,3.112802005489357e-05,,
11811.85,9.398085967404768e-05,,
11811.9,0.0001165701833087951,,
11811.95,0.00010319993452867493,,
11812.0,0.00010410429968032986,,
11812.05,0.00013008985843043774,,
11812.1,0.00014341784117277712,,
11812.15,0.00011373265442671254,,
11812.2,5.335145760909654e-05,,
11812.25,7.937845657579601e-05,,
11812.3,0.00011724523938028142,,
11812.35,0.00010234133515041322,,
11812.4,6.306388968368992e-05,,
11812.45,1.9453640561550856e-05,,
11812.5,1.116114162869053e-05,,
11812.55,1.3205080904299393e-05,,
11812.6,4.888792318524793e-05,,
11812.65,4.7556291974615306e-05,,
11812.7,2.2633590560872108e-05,,
11812.75,0.00010581599781289697,,
11812.8,0.00015359358803834766,,
11812.85,0.00015279640501830727,,
11812.9,0.00015572794654872268,,
11812.95,0.00015004408487584442,,
11813.0,0.00010380183084635064,,
11813.05,7.36288056941703e-05,,
11813.1,9.672463056631386e-05,,
11813.15,7.878175529185683e-05,,
11813.2,4.2837455112021416e-05,,
11813.25,9.632366709411144e-05,,
11813.3,6.924258195795119e-05,,
11813.35,5.810240509163123e-06,,
11813.4,2.6173374862992205e-05,,
11813.45,2.6100216928170994e-05,,
11813.5,2.8542974177980796e-05,,
11813.55,2.1391046175267547e-05,,
11813.6,1.654571678955108e-05,,
11813.65,3.704977279994637e-05,,
11813.7,5.655107815982774e-05,,
11813.75,3.252971509937197e-05,,
11813.8,4.372414332465269e-05,,
11813.85,0.00010282982839271426,,
11813.9,0.00010952930460916832,,
11813.95,6.941867468412966e-05,,
11814.0,3.670057049021125e-05,,
11814.05,5.803199383080937e-05,,
11814.1,7.097633351804689e-05,,
11814.15,5.0716742407530546e-05,,
11814.2,3.2827272661961615e-05,,
11814.25,3.780647602980025e-05,,
11814.3,5.0505179387982935e-05,,
11814.35,6.966816727072e-05,,
11814.4,9.682716336101294e-05,,
11814.45,9.616734314477071e-05,,
11814.5,5.3150546591496095e-05,,
11814.55,3.741999535122886e-05,,
11814.6,7.476643077097833e-05,,
11814.65,7.210701733129099e-05,,
11814.7,6.260858936002478e-05,,
11814.75,6.865563773317263e-05,,
11814.8,7.951920269988477e-05,,
11814.85,0.00010595745698083192,,
11814.9,0.00012108794180676341,,
11814.95,0.00010387952352175489,,
11815.0,6.801597191952169e-05,,
11815.05,5.7508121244609356e-05,,
11815.1,6.272501195780933e-05,,
11815.15,9.586211672285572e-05,,
11815.2,0.0001346165081486106,,
11815.25,0.00014268069935496897,,
11815.3,0.00012665128451772034,,
11815.35,9.367161692352965e-05,,
11815.4,9.938692528521642e-05,,
11815.45,0.00013800390297546983,,
11815.5,0.00010316491534467787,,
11815.55,6.394387310137972e-05,,
11815.6,9.766222501639277e-05,,
11815.65,0.0001233342627529055,,
11815.7,0.0001313177781412378,,
11815.75,0.00012746767606586218,,
11815.8,9.783197310753167e-05,,
11815.85,2.2801043087383732e-05,,
11815.9,4.8032597987912595e-05,,
11815.95,6.224514072528109e-05,,
11816.0,5.6480381317669526e-05,,
11816.05,4.4249747588764876e-05,,
11816.1,3.0200126275303774e-05,,
11816.15,1.4181091501086485e-05,,
11816.2,4.5978529669810086e-05,,
11816.25,9.704176045488566e-05,,
11816.3,0.00011969069601036608,,
11816.35,9.37365839490667e-05,,
11816.4,6.500438757939264e-05,,
11816.45,8.94413678906858e-05,,
11816.5,6.752539047738537e-05,,
11816.55,2.5512175852782093e-05,,
11816.6,8.147793414536864e-05,,
11816.65,7.860767072997987e-05,,
11816.7,6.892641249578446e-05,,
11816.75,8.697590237716213e-05,,
11816.8,0.00012737888027913868,,
11816.85,0.00015026848996058106,,
11816.9,0.00013258354738354683,,
11816.95,9.386768942931667e-05,,
11817.0,7.609934255015105e-05,,
11817.05,8.557835826650262e-05,,
11817.1,0.00011658079165499657,,
11817.15,0.0001520341174909845,,
11817.2,0.00014380643551703542,,
11817.25,8.599564898759127e-05,,
11817.3,4.792752588400617e-05,,
11817.35,5.019332093070261e-05,,
11817.4,6.795592344133183e-05,,
11817.45,0.0001087579585146159,,
11817.5,0.0001403787318849936,,
11817.55,0.0001308880455326289,,
11817.6,9.02782121556811e-05,,
11817.65,8.720927144167945e-05,,
11817.7,0.00014555722009390593,,
11817.75,0.00016845291247591376,,
11817.8,0.0001097327985917218,,
11817.85,1.6095647879410535e-05,,
11817.9,3.9928650949150324e-05,,
11817.95,3.5620796552393585e-05,,
11818.0,1.9306062313262373e-05,,
11818.05,6.219999340828508e-05,,
11818.1,6.664074317086488e-05,,
