Frequency (MHz),Intensity,Center Freq,Cavity Position
12007.15,2.9934284611954354e-05,12017.0,25.153099487623784
12007.2,3.9385307900374755e-05,,
12007.25,5.4014955821912736e-05,,
12007.3,3.621374708018266e-05,,
12007.35,8.947339665610343e-06,,
12007.4,2.280202716065105e-05,,
12007.45,2.548256452428177e-05,,
12007.5,2.328554000996519e-05,,
12007.55,2.8235133868292905e-05,,
12007.6,3.808204201050103e-05,,
12007.65,3.8159050745889544e-05,,
12007.7,2.3249158402904868e-05,,
12007.75,4.482476470002439e-06,,
12007.8,1.0423275853099767e-05,,
12007.85,2.5227262085536495e-05,,
12007.9,4.378852463560179e-05,,
12007.95,5.177038110559806e-05,,
12008.0,4.081361839780584e-05,,
12008.05,1.9766383047681302e-05,,
12008.1,1.4094084690441377e-05,,
12008.15,1.3021814083913341e-05,,
12008.2,3.629335878940765e-06,,
12008.25,2.461434996803291e-05,,
12008.3,2.9784430807922035e-05,,
12008.35,1.4132068827166222e-05,,
12008.4,2.2171409000293352e-05,,
12008.45,3.474130426184274e-05,,
12008.5,3.3803939004428685e-05,,
12008.55,2.465289071551524e-05,,
12008.6,8.652256838104222e-06,,
12008.65,3.0585710192099214e-05,,
12008.7,3.746439688256942e-05,,
12008.75,3.019440919160843e-05,,
12008.8,2.7480817152536474e-05,,
12008.85,2.9438802812364884e-05,,
12008.9,4.5961845899000764e-05,,
12008.95,4.3635733163682744e-05,,
12009.0,2.744512130448129e-05,,
12009.05,1.5059787983773276e-05,,
12009.1,7.6008223004464526e-06,,
12009.15,1.5428751794388518e-05,,
12009.2,1.7399526768713258e-05,,
12009.25,4.226865712553263e-06,,
12009.3,1.3495418897946365e-05,,
12009.35,1.6171170500456356e-05,,
12009.4,3.358755202498287e-05,,
12009.45,5.2470120863290504e-05,,
12009.5,5.2177983889123425e-05,,
12009.55,4.183361670584418e-05,,
12009.6,4.0348702896153554e-05,,
12009.65,3.59516307071317e-05,,
12009.7,1.8412209101370536e-05,,
12009.75,6.440843208110891e-06,,
12009.8,1.8708260540734045e-05,,
12009.85,3.061469396925531e-05,,
12009.9,1.550029446661938e-05,,
12009.95,1.2055582374159712e-05,,
12010.0,2.1538227883866057e-05,,
12010.05,2.7394327844376676e-05,,
12010.1,4.505440665525384e-05,,
12010.15,6.532537372549996e-05,,
12010.2,7.882656791480258e-05,,
12010.25,6.898298306623474e-05,,
12010.3,3.912861939170398e-05,,
12010.35,2.6876736228587106e-05,,
12010.4,2.959298035420943e-05,,
12010.45,2.071116614388302e-05,,
12010.5,1.6886766388779506e-05,,
12010.55,1.238000641023973e-05,,
12010.6,2.0001405573566444e-05,,
