Frequency (MHz),Intensity,Center Freq,Cavity Position
12110.65,4.3932359403697774e-05,12120.5,27.67472741733436
12110.7,2.9860162612749264e-05,,
12110.75,1.3177976143197156e-05,,
12110.8,2.007052898989059e-05,,
12110.85,3.183228909620084e-05,,
12110.9,4.957976489095017e-05,,
12110.95,5.980297282803804e-05,,
12111.0,4.8860369133763015e-05,,
12111.05,2.3980475816642866e-05,,
12111.1,2.742284095802461e-06,,
12111.15,1.384110510116443e-05,,
12111.2,2.818440225382801e-05,,
12111.25,3.698780346894637e-05,,
12111.3,3.5411321732681245e-05,,
12111.35,2.1285917682689615e-05,,
12111.4,1.4741035556653515e-06,,
12111.45,1.876752321550157e-05,,
12111.5,2.333880911464803e-05,,
12111.55,2.4928440325311385e-05,,
12111.6,1.0790572559926659e-05,,
12111.65,1.4576196917914785e-05,,
12111.7,2.3204474928206764e-05,,
12111.75,3.15623328788206e-05,,
12111.8,2.8022041078656912e-05,,
12111.85,1.1421337148931343e-05,,
12111.9,2.4259075871668756e-05,,
12111.95,3.4617987694218755e-05,,
12112.0,4.101300874026492e-05,,
12112.05,2.370316542510409e-05,,
12112.1,1.9242597772972658e-05,,
12112.15,1.1344116501277313e-05,,
12112.2,1.7586493413546123e-05,,
12112.25,4.135237031732686e-05,,
12112.3,5.165691618458368e-05,,
12112.35,5.4656742577208206e-05,,
12112.4,5.257954398985021e-05,,
12112.45,4.4927299313712865e-05,,
12112.5,3.099452442256734e-05,,
12112.55,1.656705171626527e-05,,
12112.6,2.5550969439791515e-05,,
12112.65,3.4764943848131225e-05,,
12112.7,3.0168110242811963e-05,,
12112.75,1.9398401491343975e-05,,
12112.8,2.5057903258129954e-05,,
12112.85,3.4703687560977414e-05,,
12112.9,3.623025622800924e-05,,
12112.95,3.7314766814233735e-05,,
12113.0,3.852926238323562e-05,,
12113.05,2.4690853024367243e-05,,
12113.1,9.67631240200717e-06,,
12113.15,2.420892269583419e-05,,
12113.2,1.747292662912514e-05,,
12113.25,6.484142431872897e-06,,
12113.3,8.972911018645391e-06,,
12113.35,1.904624150483869e-05,,
12113.4,1.7348518667859025e-05,,
12113.45,2.2086247554398142e-05,,
12113.5,3.5067521821474656e-05,,
12113.55,3.620057032094337e-05,,
12113.6,4.2175881389994174e-05,,
12113.65,5.479066749103367e-05,,
12113.7,4.707697735284455e-05,,
12113.75,1.7248135918634944e-05,,
12113.8,1.7555730664753355e-05,,
12113.85,3.415109313209541e-05,,
12113.9,3.108398232143372e-05,,
12113.95,1.2820990377804264e-05,,
12114.0,1.363853516522795e-05,,
12114.05,3.0422737836488523e-05,,
12114.1,2.5428482331335545e-05,,
12114.15,8.561233698856086e-06,,
12114.2,8.12841608421877e-06,,
12114.25,1.3521600521926302e-05,,
12114.3,2.518764085834846e-05,,
12114.35,2.471249899826944e-05,,
12114.4,1.0917571671598125e-05,,
12114.45,4.965633706888184e-05,,
12114.5,9.733448678161949e-05,,
12114.55,0.00011715738946804777,,
12114.6,0.00010784242476802319,,
12114.65,8.287511445814744e-05,,
12114.7,5.2891409723088145e-05,,
12114.75,4.111514499527402e-05,,
12114.8,4.7423745854757726e-05,,
12114.85,5.913890345254913e-05,,
12114.9,7.219627877930179e-05,,
12114.95,5.1857659855159e-05,,
