Frequency (MHz),Intensity,Center Freq,Cavity Position
11870.65,1.689165219431743e-05,11880.5,21.768128323997725
11870.7,1.3828310329699889e-05,,
11870.75,1.1777286090364214e-05,,
11870.8,1.161915952252457e-05,,
11870.85,3.5051562008447945e-05,,
11870.9,4.132861795369536e-05,,
11870.95,3.3156484278151765e-05,,
11871.0,2.2771571821067482e-05,,
11871.05,2.1076006305520423e-05,,
11871.1,2.5429786546737887e-05,,
11871.15,3.261180245317519e-05,,
11871.2,2.2269570763455704e-05,,
11871.25,5.268014774628682e-06,,
11871.3,1.947119744727388e-05,,
11871.35,2.1451807697303593e-05,,
11871.4,2.0464565750444308e-05,,
11871.45,1.4797552466916386e-05,,
11871.5,7.796877071086783e-06,,
11871.55,7.111793820513412e-06,,
11871.6,4.736301434604684e-06,,
11871.65,4.283367161406204e-06,,
11871.7,5.073544798506191e-06,,
11871.75,1.1760040251829196e-05,,
11871.8,1.2137768862885423e-05,,
11871.85,4.802116563951131e-06,,
11871.9,2.1097706849104725e-05,,
11871.95,3.2569874747423455e-05,,
11872.0,3.8079044315963984e-05,,
11872.05,5.1132468797732145e-05,,
11872.1,5.653068365063518e-05,,
11872.15,4.3293548515066504e-05,,
11872.2,2.62520134128863e-05,,
11872.25,1.2316310858295765e-05,,
11872.3,1.779554622771684e-05,,
11872.35,2.8203185138409026e-05,,
11872.4,3.414792081457563e-05,,
11872.45,3.094722342211753e-05,,
11872.5,1.3469916666508652e-05,,
11872.55,2.063894680759404e-05,,
11872.6,3.591877975850366e-05,,
11872.65,3.0061884899623692e-05,,
11872.7,1.9758668713620864e-05,,
11872.75,1.817461998143699e-05,,
11872.8,1.7198299246956594e-05,,
11872.85,2.0034305634908378e-05,,
11872.9,2.5620734959375113e-05,,
11872.95,2.8836395358666778e-05,,
11873.0,2.8288499379414134e-05,,
11873.05,2.3187310944194905e-05,,
11873.1,1.2685784895438701e-05,,
11873.15,2.41004818235524e-06,,
11873.2,1.71872725331923e-05,,
11873.25,2.397335265413858e-05,,
11873.3,1.3803035471937619e-05,,
11873.35,1.9131401131744497e-05,,
11873.4,4.73889012937434e-05,,
11873.45,6.619290070375428e-05,,
11873.5,7.351268868660554e-05,,
11873.55,6.86133062117733e-05,,
11873.6,5.517525278264657e-05,,
11873.65,4.668540714192204e-05,,
11873.7,3.915233537554741e-05,,
11873.75,2.5519544578855857e-05,,
11873.8,1.818490454752464e-05,,
11873.85,2.432359178783372e-05,,
11873.9,7.965910299390089e-06,,
11873.95,2.943857543868944e-05,,
11874.0,3.605336678447202e-05,,
11874.05,6.335068519547349e-06,,
11874.1,2.356546428927686e-05,,
11874.15,2.591516931715887e-05,,
11874.2,3.3512078516650945e-05,,
11874.25,4.442128920345567e-05,,
11874.3,4.7978548536775634e-05,,
11874.35,4.807569712284021e-05,,
11874.4,3.4234162740176544e-05,,
11874.45,2.393507384113036e-05,,
11874.5,3.3653006539680064e-05,,
11874.55,2.9338458261918277e-05,,
11874.6,1.668482946115546e-05,,
11874.65,1.3100128853693604e-05,,
11874.7,2.4743399990256876e-05,,
11874.75,2.2050197003409266e-05,,
11874.8,2.6194429665338248e-05,,
11874.85,5.3270508942659944e-05,,
11874.9,7.272930815815926e-05,,
11874.95,4.7991419705795124e-05,,
11875.0,2.9049248041701503e-05,,
11875.05,5.568653068621643e-05,,
11875.1,7.260992424562573e-05,,
11875.15,4.739042924484238e-05,,
11875.2,2.8988417398068123e-05,,
11875.25,9.124594362219796e-05,,
11875.3,0.00011449250450823456,,
11875.35,6.549118552356958e-05,,
11875.4,1.7670390661805868e-05,,
11875.45,5.756515383836813e-05,,
11875.5,5.1470600737957284e-05,,
11875.55,5.57261191715952e-05,,
11875.6,6.501402094727382e-05,,
11875.65,4.9095651775132865e-05,,
11875.7,4.9422273150412366e-05,,
11875.75,7.656383968424052e-05,,
11875.8,9.086552745429799e-05,,
11875.85,7.813852425897494e-05,,
11875.9,7.139101217035204e-05,,
11875.95,0.00010429499525343999,,
11876.0,9.683427197160199e-05,,
11876.05,5.300079646985978e-05,,
11876.1,1.2335898645687848e-05,,
11876.15,1.146034355770098e-05,,
11876.2,1.1472678124846425e-05,,
11876.25,4.430835815583123e-06,,
11876.3,1.587827136972919e-05,,
11876.35,2.6698862711782567e-05,,
11876.4,2.002702785830479e-05,,
11876.45,6.5228991843468975e-06,,
11876.5,1.9113485905108973e-05,,
11876.55,3.906606798409484e-05,,
11876.6,4.82878131151665e-05,,
11876.65,8.205509948311374e-05,,
11876.7,0.00014198051940184087,,
