Frequency (MHz),Intensity,Center Freq,Cavity Position
12067.15,3.106790973106399e-05,12077.0,26.615154823111336
12067.2,3.581442797440104e-05,,
12067.25,2.3557005988550372e-05,,
12067.3,2.5292412829003297e-05,,
12067.35,1.739445360726677e-05,,
12067.4,1.5250564501911867e-05,,
12067.45,2.8766669856850058e-05,,
12067.5,1.8789465684676543e-05,,
12067.55,1.5650855857529677e-05,,
12067.6,1.610225808690302e-05,,
12067.65,1.7335025404463522e-05,,
12067.7,2.736329952313099e-05,,
12067.75,3.32849049300421e-05,,
12067.8,2.477491943864152e-05,,
12067.85,4.048783921462018e-06,,
12067.9,1.7653404938755557e-05,,
12067.95,3.0061049983487464e-05,,
12068.0,3.668324643513188e-05,,
12068.05,3.4172353480244055e-05,,
12068.1,1.9682782294694334e-05,,
12068.15,1.1388973689463455e-05,,
12068.2,1.2614930710697081e-05,,
12068.25,1.4401842236111406e-05,,
12068.3,2.8728425604640506e-05,,
12068.35,3.8183705328265205e-05,,
12068.4,4.0954699215944856e-05,,
12068.45,3.2966148864943534e-05,,
12068.5,1.692261139396578e-05,,
12068.55,1.9442784832790494e-05,,
12068.6,1.5310701201087795e-05,,
12068.65,1.57158119691303e-05,,
12068.7,2.0679870431195013e-05,,
12068.75,1.652172977628652e-05,,
12068.8,3.4373209928162396e-05,,
12068.85,3.520204336382449e-05,,
12068.9,1.109594631998334e-05,,
12068.95,1.6762334780651145e-05,,
12069.0,1.3419230526778847e-05,,
12069.05,2.70300661213696e-05,,
12069.1,2.9464135877788067e-05,,
12069.15,2.3074402633938007e-05,,
12069.2,3.4807035262929276e-05,,
12069.25,3.27996131090913e-05,,
12069.3,1.7237936845049262e-05,,
12069.35,1.2360956134216394e-05,,
12069.4,2.3273345505003817e-05,,
12069.45,2.4342061806237325e-05,,
12069.5,1.2290948689042125e-05,,
12069.55,2.3523807612946257e-05,,
12069.6,1.6585223420406692e-05,,
12069.65,1.2784843420377001e-05,,
12069.7,2.004322777793277e-05,,
12069.75,1.5423092918354087e-05,,
12069.8,7.564420229755342e-06,,
12069.85,1.1436062777647749e-05,,
12069.9,3.328688762849197e-05,,
12069.95,4.184576027910225e-05,,
12070.0,3.384369483683258e-05,,
12070.05,2.5005532734212466e-05,,
12070.1,3.9396541978931054e-05,,
12070.15,4.142792022321373e-05,,
12070.2,1.7177062545670196e-05,,
12070.25,1.572052678966429e-05,,
12070.3,1.6741825675126165e-05,,
12070.35,2.107636464643292e-05,,
12070.4,3.1395768019137904e-05,,
12070.45,2.7739568395190872e-05,,
12070.5,2.7215268346481025e-05,,
12070.55,2.6523699489189312e-05,,
12070.6,9.989888894779142e-06,,
12070.65,1.78107602550881e-05,,
12070.7,3.072784602409229e-05,,
12070.75,1.7286334696109407e-05,,
12070.8,1.4808040759817231e-05,,
12070.85,4.224284930387512e-05,,
12070.9,5.1217168220318854e-05,,
12070.95,6.273631879594177e-05,,
12071.0,6.687585118925199e-05,,
12071.05,5.946799137745984e-05,,
12071.1,5.3887975809630007e-05,,
12071.15,4.616503792931326e-05,,
12071.2,3.331542029627599e-05,,
12071.25,1.6869667888386175e-05,,
12071.3,2.0141240383964032e-05,,
12071.35,2.0479712475207634e-05,,
12071.4,6.63205446471693e-06,,
12071.45,1.5972571418387815e-05,,
12071.5,2.056068660749588e-05,,
12071.55,5.23351518495474e-05,,
12071.6,4.661174534703605e-05,,
12071.65,2.3199179850053042e-05,,
12071.7,0.00011939782416447997,,
12071.75,0.00016354060790035874,,
12071.8,0.00012292625615373254,,
12071.85,6.068814764148556e-05,,
12071.9,4.374739728518762e-05,,
12071.95,4.3106727389385924e-05,,
12072.0,3.9771148294676095e-05,,
12072.05,3.560093682608567e-05,,
12072.1,3.686390846269205e-05,,
12072.15,1.7460011804359965e-05,,
12072.2,4.8606849304633215e-05,,
12072.25,6.0063288401579484e-05,,
12072.3,4.2619623854989186e-05,,
12072.35,2.5397970603080466e-05,,
12072.4,2.3857390260673128e-05,,
12072.45,2.874873098335229e-05,,
12072.5,2.7840045731863938e-05,,
12072.55,7.757785351714119e-05,,
12072.6,7.72459025029093e-05,,
12072.65,3.153174475301057e-05,,
12072.7,2.2267022359301336e-05,,
12072.75,4.914720921078697e-05,,
12072.8,7.079588976921514e-05,,
