Frequency (MHz),Intensity,Center Freq,Cavity Position
12032.65,2.470720028213691e-05,12042.5,25.77661663951097
12032.7,3.2664018362993374e-05,,
12032.75,3.0340110242832452e-05,,
12032.8,1.2662050721701235e-05,,
12032.85,1.0219206160400063e-05,,
12032.9,1.719485044304747e-05,,
12032.95,7.885354534664657e-06,,
12033.0,2.2285015802481212e-05,,
12033.05,2.1796682631247677e-05,,
12033.1,3.755947545869276e-05,,
12033.15,4.891055141342804e-05,,
12033.2,3.2635736715747043e-05,,
12033.25,1.0351090168114752e-05,,
12033.3,2.0134835722274147e-05,,
12033.35,2.0387004042277113e-05,,
12033.4,1.1690410246956162e-05,,
12033.45,1.3769683391728904e-05,,
12033.5,3.243448372813873e-05,,
12033.55,5.111724021844566e-05,,
12033.6,5.8785353758139536e-05,,
12033.65,5.3427156672114506e-05,,
12033.7,3.7473306292667985e-05,,
12033.75,2.7753974791266955e-05,,
12033.8,3.926092540496029e-05,,
12033.85,3.8729423977201805e-05,,
12033.9,2.9878363420721143e-05,,
12033.95,3.102068876614794e-05,,
12034.0,2.9245515179354697e-05,,
12034.05,2.267394302180037e-05,,
12034.1,1.6492200302309357e-05,,
12034.15,9.571095688443165e-06,,
12034.2,1.987797259062063e-05,,
12034.25,3.888958235620521e-05,,
12034.3,5.0945473049068823e-05,,
12034.35,3.912805186701007e-05,,
12034.4,2.891475014621392e-05,,
12034.45,2.7280526410322636e-05,,
12034.5,1.3791106539429165e-05,,
12034.55,1.1794421880040318e-05,,
12034.6,1.0158372788282577e-05,,
12034.65,4.2809865590243135e-06,,
12034.7,1.35897244035732e-05,,
12034.75,3.012346314790193e-05,,
12034.8,4.0897248254623264e-05,,
12034.85,3.989668402937241e-05,,
12034.9,3.4365904866717756e-05,,
12034.95,3.0376886570593342e-05,,
12035.0,2.846297138603404e-05,,
12035.05,2.4665208911756054e-05,,
12035.1,1.493021409260109e-05,,
12035.15,7.017770258244127e-06,,
12035.2,7.907278813945595e-06,,
12035.25,9.390404557052534e-06,,
12035.3,1.5370273104053922e-05,,
12035.35,3.058959191548638e-05,,
12035.4,3.054694752790965e-05,,
12035.45,1.9278742911410518e-05,,
12035.5,2.3692709874012507e-05,,
12035.55,2.8761354769812897e-05,,
12035.6,1.5986390280886553e-05,,
12035.65,2.9213924790383317e-05,,
12035.7,4.4556720240507275e-05,,
12035.75,4.209441249258816e-05,,
12035.8,3.555037619662471e-05,,
12035.85,3.31423434545286e-05,,
12035.9,2.9966340662213042e-05,,
12035.95,3.448936331551522e-05,,
12036.0,4.351451207185164e-05,,
12036.05,4.5188826334197074e-05,,
12036.1,4.0165130485547706e-05,,
12036.15,2.4620716430945322e-05,,
12036.2,6.583321919606533e-06,,
12036.25,2.071634298772551e-05,,
12036.3,1.6054065781645477e-05,,
12036.35,8.009912562556565e-06,,
12036.4,4.382147380965762e-06,,
12036.45,8.650610652694013e-06,,
12036.5,2.0528528693830594e-05,,
12036.55,3.0011642593308352e-05,,
12036.6,3.387378092156723e-05,,
12036.65,2.8674421628238633e-05,,
12036.7,4.506908589974046e-05,,
12036.75,4.625738438335247e-05,,
12036.8,2.6720959795056842e-05,,
12036.85,1.4822247976553626e-05,,
12036.9,1.8321352399652824e-05,,
12036.95,2.8070740881958045e-05,,
12037.0,1.800712379917968e-05,,
12037.05,2.2213382635527523e-06,,
12037.1,8.167984560714103e-06,,
12037.15,3.55048177880235e-05,,
12037.2,4.484339660848491e-05,,
12037.25,2.6383273507235572e-05,,
12037.3,3.473495598882437e-05,,
12037.35,5.1729624829022214e-05,,
12037.4,5.649288141285069e-05,,
12037.45,3.8170193874975666e-05,,
12037.5,1.56540991156362e-05,,
12037.55,3.9099988498492166e-05,,
12037.6,1.3375635717238765e-05,,
12037.65,2.8052560082869604e-05,,
12037.7,4.616308069671504e-05,,
12037.75,3.676240885397419e-05,,
12037.8,8.764419362705667e-06,,
12037.85,1.72596555785276e-05,,
12037.9,1.5299014194170013e-05,,
12037.95,2.3308684831135906e-05,,
12038.0,1.756492019922007e-05,,
12038.05,3.9413363992935047e-05,,
12038.1,4.8919511755229905e-05,,
12038.15,2.270613913424313e-05,,
12038.2,9.640327334636822e-06,,
12038.25,1.0136928722204175e-05,,
