Frequency (MHz),Intensity,Center Freq,Cavity Position
11962.65,1.4208325410436373e-05,11972.5,24.05230366471304
11962.7,1.077219803846674e-05,,
11962.75,1.625228651391808e-05,,
11962.8,2.833595499396324e-05,,
11962.85,3.491685856715776e-05,,
11962.9,2.6007865017163567e-05,,
11962.95,8.409581823798362e-06,,
11963.0,1.075018553819973e-05,,
11963.05,1.0717016266426072e-05,,
11963.1,4.684588475356577e-06,,
11963.15,1.1627685125858989e-05,,
11963.2,1.2350414181128144e-05,,
11963.25,2.5372039090143517e-05,,
11963.3,3.9973318052943796e-05,,
11963.35,4.3040377931902185e-05,,
11963.4,3.251913585700095e-05,,
11963.45,1.8606164303491823e-05,,
11963.5,1.4693112461827695e-05,,
11963.55,2.1922589439782314e-05,,
11963.6,1.4850639672658872e-05,,
11963.65,9.683522876002826e-06,,
11963.7,9.99780877464218e-06,,
11963.75,1.3863453204976395e-05,,
11963.8,3.7018540751887485e-05,,
11963.85,3.915673369192518e-05,,
11963.9,1.7121848941314965e-05,,
11963.95,1.2874176718469243e-05,,
11964.0,3.487385038170032e-05,,
11964.05,3.349203689140268e-05,,
11964.1,2.0600029529305175e-05,,
11964.15,2.0625126126105897e-05,,
11964.2,2.0588939150911756e-05,,
11964.25,2.5316085157101043e-05,,
11964.3,2.862553628801834e-05,,
11964.35,3.0108727514743805e-05,,
11964.4,3.474912591627799e-05,,
11964.45,3.552549969754182e-05,,
11964.5,3.081339309574105e-05,,
11964.55,2.292121462232899e-05,,
11964.6,1.8009875930147246e-05,,
11964.65,2.8421651222743094e-05,,
11964.7,3.627262412919663e-05,,
11964.75,2.660896279849112e-05,,
11964.8,1.0056274732050952e-05,,
11964.85,5.441669600259047e-06,,
11964.9,2.4594397473265417e-05,,
11964.95,3.810458292718977e-05,,
11965.0,3.646147160907276e-05,,
11965.05,2.603297798486892e-05,,
11965.1,2.1647887479048222e-05,,
11965.15,2.4985454729176126e-05,,
11965.2,3.025423939106986e-05,,
11965.25,3.915524575859308e-05,,
11965.3,4.1694383980939165e-05,,
11965.35,3.888388891937211e-05,,
11965.4,4.196220470475964e-05,,
11965.45,4.3628875573631376e-05,,
11965.5,3.2832089345902205e-05,,
11965.55,3.12132433464285e-05,,
11965.6,3.7550951674347743e-05,,
11965.65,2.864274210878648e-05,,
11965.7,1.551835703139659e-05,,
11965.75,1.1089745385106653e-05,,
11965.8,4.054484816151671e-05,,
11965.85,6.3002371462062e-05,,
11965.9,6.517925794469193e-05,,
11965.95,5.147911360836588e-05,,
11966.0,3.830648711300455e-05,,
11966.05,3.166860915371217e-05,,
11966.1,3.307688166387379e-05,,
11966.15,3.395260137040168e-05,,
11966.2,2.2676866137771867e-05,,
11966.25,1.5960760720190592e-05,,
11966.3,3.932956315111369e-05,,
11966.35,6.172506255097687e-05,,
11966.4,6.800308619858697e-05,,
11966.45,6.702505197608843e-05,,
11966.5,5.4696109145879745e-05,,
11966.55,4.0919800085248426e-05,,
11966.6,3.914213084499352e-05,,
