Frequency (MHz),Intensity,Center Freq,Cavity Position
11758.15,4.097818600712344e-05,11768.0,18.928713402777795
11758.2,2.9012759114266373e-05,,
11758.25,2.2984704628470354e-05,,
11758.3,2.9459914003382437e-05,,
11758.35,1.8417051251162775e-05,,
11758.4,9.670003237260971e-06,,
11758.45,2.28914668696234e-05,,
11758.5,3.182739237672649e-05,,
11758.55,2.2470949261332862e-05,,
11758.6,1.249017623194959e-05,,
11758.65,2.8388851205818355e-05,,
11758.7,3.030031621165108e-05,,
11758.75,4.108323992113583e-05,,
11758.8,6.666356784990057e-05,,
11758.85,7.245990127557889e-05,,
11758.9,4.890582204097882e-05,,
11758.95,1.8492783055990003e-05,,
11759.0,6.862421741971048e-06,,
11759.05,1.928811616380699e-05,,
11759.1,1.910705213958863e-05,,
11759.15,8.462194273306523e-06,,
11759.2,3.897498572769109e-06,,
11759.25,2.3041857275529765e-06,,
11759.3,3.028692162843072e-06,,
11759.35,1.756877827574499e-05,,
11759.4,2.8892749469378032e-05,,
11759.45,3.065487544517964e-05,,
11759.5,3.6621342587750405e-05,,
11759.55,3.253373870393261e-05,,
11759.6,1.3643370948557276e-05,,
11759.65,8.74751276569441e-06,,
11759.7,3.845699757221155e-05,,
11759.75,5.948605030425824e-05,,
11759.8,4.482025178731419e-05,,
11759.85,2.8304622901487164e-05,,
11759.9,2.6547484594630077e-05,,
11759.95,2.070076880045235e-05,,
11760.0,1.4633599676017184e-05,,
11760.05,1.4242958968679886e-05,,
11760.1,1.5365594663308002e-05,,
11760.15,1.177739159174962e-05,,
11760.2,2.0329405742813833e-05,,
11760.25,2.7301683076075278e-05,,
11760.3,1.4690839634567965e-05,,
11760.35,4.0802724470268e-06,,
11760.4,1.1418753274483606e-05,,
11760.45,1.913108462758828e-05,,
11760.5,2.3766784579493105e-05,,
11760.55,2.2838317818241194e-05,,
11760.6,3.453037788858637e-05,,
11760.65,3.244145045755431e-05,,
11760.7,1.8704535250435583e-05,,
11760.75,1.6547935956623405e-05,,
11760.8,2.6132085622521117e-05,,
11760.85,3.186716276104562e-05,,
11760.9,3.4756551031023264e-05,,
11760.95,3.565111546777189e-05,,
11761.0,2.6049363441416062e-05,,
11761.05,3.3551419619470835e-05,,
11761.1,5.279598190099932e-05,,
11761.15,4.4440010242396966e-05,,
11761.2,1.8183449356001802e-05,,
11761.25,7.256095159391407e-06,,
11761.3,2.1232919607427903e-05,,
11761.35,2.635601777001284e-05,,
11761.4,2.3145754312281497e-05,,
11761.45,3.5226301406510174e-05,,
11761.5,5.5724111007293686e-05,,
11761.55,5.01455033372622e-05,,
11761.6,1.9891887859557755e-05,,
11761.65,5.672492534358753e-06,,
11761.7,1.2571927072713152e-05,,
11761.75,1.7206655684276484e-05,,
11761.8,1.7081276382668875e-05,,
11761.85,3.4743552532745525e-05,,
11761.9,4.605946014635265e-05,,
11761.95,3.222960003768094e-05,,
11762.0,2.2669964891974814e-05,,
11762.05,1.3350641893339343e-05,,
11762.1,4.474604338611243e-06,,
11762.15,2.584415597084444e-05,,
11762.2,4.166753569734283e-05,,
11762.25,4.7748642828082666e-05,,
11762.3,4.304675167077221e-05,,
11762.35,3.760611070902087e-05,,
11762.4,4.3432271922938526e-05,,
11762.45,5.0308699428569525e-05,,
11762.5,4.232231367495842e-05,,
11762.55,2.4497498088749126e-05,,
11762.6,3.160663982271217e-05,,
11762.65,3.1289604521589354e-05,,
11762.7,4.047105903737247e-05,,
11762.75,8.566552423872054e-05,,
11762.8,0.00013358738215174526,,
11762.85,0.00014266355719882995,,
11762.9,8.59445717651397e-05,,
11762.95,1.7317976016784087e-05,,
11763.0,4.0405342588201165e-05,,
11763.05,5.102216164232232e-05,,
11763.1,6.386778113665059e-05,,
11763.15,8.45214381115511e-05,,
11763.2,8.734915172681212e-05,,
11763.25,6.090630995458923e-05,,
11763.3,3.5156339436070994e-05,,
11763.35,4.288798663765192e-05,,
11763.4,4.0570324927102774e-05,,
11763.45,4.46555350208655e-05,,
11763.5,7.002826168900356e-05,,
11763.55,3.917327194358222e-05,,
11763.6,5.3266867325874045e-05,,
11763.65,6.410785135813057e-05,,
11763.7,3.3869971957756206e-05,,
11763.75,2.573831079644151e-05,,
11763.8,2.782229239528533e-05,,
11763.85,7.532583549618721e-05,,
11763.9,9.240066719939932e-05,,
11763.95,0.00012586456432472914,,
11764.0,0.0001279799034819007,,
11764.05,8.645885100122541e-05,,
11764.1,4.827327575185336e-05,,
11764.15,2.3644706743652932e-05,,
11764.2,4.4106145651312545e-05,,
11764.25,3.586374441510998e-05,,
11764.3,3.192945587215945e-05,,
11764.35,2.6140442059841007e-05,,
11764.4,3.6634839489124715e-05,,
11764.45,5.170710210222751e-05,,
11764.5,8.009801240405068e-05,,
11764.55,0.00011089463077951223,,
11764.6,0.0001117836800403893,,
11764.65,7.015981827862561e-05,,
11764.7,2.3580152628710493e-05,,
11764.75,2.173573557229247e-05,,
11764.8,2.789296195260249e-05,,
11764.85,3.67765715054702e-05,,
11764.9,4.102682578377426e-05,,
11764.95,2.176434463763144e-05,,
11765.0,5.2405899623408914e-05,,
11765.05,0.0001310965744778514,,
