Frequency (MHz),Intensity,Center Freq,Cavity Position
11991.65,4.721763980342075e-05,12001.5,24.770425505613762
11991.7,5.7302586355945095e-05,,
11991.75,3.0276049074018374e-05,,
11991.8,1.63383247127058e-05,,
11991.85,2.2546801119460724e-05,,
11991.9,1.9420784155954607e-05,,
11991.95,2.2674908905173652e-05,,
11992.0,2.7391490220907144e-05,,
11992.05,4.94554806209635e-05,,
11992.1,5.76141283090692e-05,,
11992.15,4.8099645937327296e-05,,
11992.2,3.107799057033844e-05,,
11992.25,2.224989475507755e-05,,
11992.3,2.5747967811184935e-05,,
11992.35,2.9919456210336648e-05,,
11992.4,4.187842205283232e-05,,
11992.45,4.580592940328643e-05,,
11992.5,2.744274570432026e-05,,
11992.55,1.978794352908153e-05,,
11992.6,1.8089362129103392e-05,,
11992.65,5.737682840845082e-06,,
11992.7,1.2205725397507194e-05,,
11992.75,1.7544851289130747e-05,,
11992.8,1.9756149413296953e-05,,
11992.85,2.4843226128723472e-05,,
11992.9,3.109026511083357e-05,,
11992.95,3.476391066215001e-05,,
11993.0,2.7957503334619105e-05,,
11993.05,1.0465763807587791e-05,,
11993.1,1.713005440251436e-05,,
11993.15,3.6337725759949535e-05,,
11993.2,3.8543326809303835e-05,,
11993.25,4.3583542719716206e-05,,
11993.3,5.386287011788227e-05,,
11993.35,5.3554038458969444e-05,,
11993.4,3.9772348827682436e-05,,
11993.45,2.263942951685749e-05,,
11993.5,1.2499487638706341e-05,,
11993.55,1.1049455679312814e-05,,
11993.6,1.5535510101472028e-05,,
11993.65,1.1657471077342052e-05,,
11993.7,2.325169953110162e-05,,
11993.75,3.9556463889312e-05,,
11993.8,3.419060158194043e-05,,
11993.85,1.4983114851929713e-05,,
11993.9,2.0494364434853196e-05,,
11993.95,7.776143320370466e-06,,
11994.0,1.7414919057046063e-05,,
11994.05,1.4094730431679636e-05,,
11994.1,1.8488910427549854e-05,,
11994.15,4.976156560587697e-05,,
11994.2,5.0706559704849496e-05,,
11994.25,1.84217315108981e-05,,
11994.3,4.3043641198892146e-05,,
11994.35,6.084222695790231e-05,,
11994.4,4.9954218411585316e-05,,
11994.45,2.4433271391899325e-05,,
11994.5,1.6587677237112075e-05,,
11994.55,5.283555219648406e-05,,
11994.6,6.875579856568947e-05,,
11994.65,5.068447717349045e-05,,
11994.7,1.574154885020107e-05,,
11994.75,2.0939065507263876e-05,,
11994.8,2.9944816560600884e-05,,
11994.85,4.027106842841022e-05,,
11994.9,4.902315413346514e-05,,
11994.95,4.997746509616263e-05,,
11995.0,4.451228596735746e-05,,
11995.05,2.8183925678604282e-05,,
11995.1,9.655408575781621e-06,,
11995.15,3.281571116531268e-05,,
11995.2,5.6838089221855626e-05,,
11995.25,7.68323297961615e-05,,
11995.3,7.995535270310938e-05,,
11995.35,5.43275018571876e-05,,
11995.4,1.7941792975761928e-05,,
11995.45,1.9925815649912693e-05,,
11995.5,1.8873541193897836e-05,,
11995.55,2.7958882128586993e-05,,
11995.6,4.60955998278223e-05,,
11995.65,4.546850686892867e-05,,
11995.7,3.323209239169955e-05,,
11995.75,3.7466827052412555e-05,,
11995.8,6.268510333029553e-05,,
11995.85,6.259790825424716e-05,,
11995.9,4.049772906000726e-05,,
11995.95,2.9394084776868112e-05,,
11996.0,2.5904597350745462e-05,,
11996.05,3.651132283266634e-05,,
11996.1,3.916673449566588e-05,,
11996.15,1.5744357369840145e-05,,
11996.2,6.253502215258777e-05,,
11996.25,7.338229625020176e-05,,
11996.3,4.7080560761969537e-05,,
11996.35,2.0352656065369956e-05,,
11996.4,2.4396489607170224e-05,,
11996.45,1.0601529538689647e-05,,
11996.5,2.3662374587729573e-05,,
11996.55,4.032223660033196e-05,,
11996.6,4.3612690205918625e-05,,
11996.65,4.5376345951808617e-05,,
11996.7,4.1498678911011666e-05,,
11996.75,3.7858269934076816e-05,,
11996.8,2.7790780222858302e-05,,
11996.85,3.684193507069722e-05,,
11996.9,4.4027299736626446e-05,,
11996.95,7.470850687241182e-05,,
