Frequency (MHz),Intensity,Center Freq,Cavity Position
11976.65,1.1880038982781116e-05,11986.5,24.398218325665212
11976.7,1.5398751429529511e-06,,
11976.75,1.2468096429074649e-05,,
11976.8,4.7725163312861696e-05,,
11976.85,6.686757114948705e-05,,
11976.9,4.443537909537554e-05,,
11976.95,8.059842002694495e-06,,
11977.0,2.2478563550976105e-05,,
11977.05,2.1584426576737314e-05,,
11977.1,8.707733286428265e-06,,
11977.15,1.345903001492843e-05,,
11977.2,2.2075826564105228e-05,,
11977.25,1.5048020031827036e-05,,
11977.3,5.4682145673723426e-06,,
11977.35,6.708647561026737e-06,,
11977.4,1.2610546036739834e-05,,
11977.45,2.1465177269419655e-05,,
11977.5,2.1088519133627415e-05,,
11977.55,1.6542810044484213e-05,,
11977.6,1.281164168176474e-05,,
11977.65,1.9466977391857654e-05,,
11977.7,4.019199332105927e-05,,
11977.75,5.176946069695987e-05,,
11977.8,4.309437645133585e-05,,
11977.85,4.6893001126591116e-05,,
11977.9,4.738070128951222e-05,,
11977.95,3.152144199702889e-05,,
11978.0,9.584673534845933e-06,,
11978.05,3.634611630332074e-06,,
11978.1,1.1952035492868163e-05,,
11978.15,3.063550320803188e-05,,
11978.2,3.7394762330222875e-05,,
11978.25,4.1562358092051e-05,,
11978.3,4.336128040449694e-05,,
11978.35,3.990772893303074e-05,,
11978.4,1.678471926425118e-05,,
11978.45,9.316484465671238e-06,,
11978.5,8.918761523091234e-06,,
11978.55,2.1000239939894527e-05,,
11978.6,4.219842958264053e-05,,
11978.65,4.093115057912655e-05,,
11978.7,1.6546473489142954e-05,,
11978.75,2.0336074157967232e-05,,
11978.8,2.5100291168200783e-05,,
11978.85,8.263836207333952e-06,,
11978.9,2.9814179924869677e-06,,
11978.95,9.206232789438218e-06,,
11979.0,1.8634989828569815e-05,,
11979.05,2.223270530521404e-05,,
11979.1,2.894699719035998e-05,,
11979.15,4.885414819000289e-05,,
11979.2,6.220452632987872e-05,,
11979.25,5.125928146298975e-05,,
11979.3,4.2146057239733636e-05,,
11979.35,6.176071474328637e-05,,
11979.4,6.601402128580958e-05,,
11979.45,6.3204592152033e-05,,
11979.5,5.672228508046828e-05,,
11979.55,5.301047713146545e-05,,
11979.6,4.480444476939738e-05,,
11979.65,2.703367681533564e-05,,
11979.7,1.5748488294775598e-05,,
11979.75,1.632778912608046e-05,,
11979.8,2.3235752451000735e-05,,
11979.85,2.546609721321147e-05,,
11979.9,2.772330117295496e-05,,
11979.95,2.2884907593834214e-05,,
11980.0,2.106620195263531e-05,,
11980.05,4.429112232173793e-05,,
11980.1,4.2870393372140825e-05,,
11980.15,3.205422399332747e-05,,
11980.2,2.7155541829415597e-05,,
11980.25,1.815747054934036e-05,,
11980.3,1.2840841918659862e-05,,
11980.35,1.6599020455032587e-05,,
11980.4,1.3003745152673218e-05,,
11980.45,2.352232149860356e-05,,
11980.5,2.9349388569244184e-05,,
11980.55,4.16386392316781e-05,,
11980.6,3.1511386623606086e-05,,
11980.65,1.850846274464857e-05,,
11980.7,2.8314432711340487e-05,,
11980.75,2.214072083006613e-05,,
11980.8,2.0193167074467055e-05,,
11980.85,5.768472419731552e-06,,
11980.9,8.724334293219727e-06,,
11980.95,2.2852098481962457e-05,,
11981.0,4.0452152461512014e-05,,
11981.05,4.375459684524685e-05,,
11981.1,4.235116648487747e-05,,
11981.15,3.1730407499708235e-05,,
11981.2,1.5709796571172774e-05,,
11981.25,3.0255345336627215e-05,,
11981.3,5.371262886910699e-05,,
11981.35,4.7684148739790544e-05,,
11981.4,2.72613724519033e-05,,
11981.45,3.3457352401455864e-05,,
11981.5,5.346677789930254e-05,,
11981.55,5.760011845268309e-05,,
11981.6,3.684688635985367e-05,,
11981.65,2.5401246602996252e-05,,
11981.7,2.6739573513623327e-05,,
11981.75,9.486006092629395e-06,,
11981.8,3.11129551846534e-05,,
11981.85,5.247670924291015e-05,,
11981.9,5.7456509239273146e-05,,
11981.95,3.1512052373727784e-05,,
11982.0,2.369017784076277e-05,,
11982.05,3.855183967971243e-05,,
11982.1,3.7807458284078166e-06,,
11982.15,2.3755699658067897e-05,,
11982.2,1.9881164917023852e-05,,
11982.25,2.604879773571156e-05,,
11982.3,6.268138531595469e-05,,
11982.35,8.413063187617809e-05,,
11982.4,7.521275256294757e-05,,
11982.45,3.373270737938583e-05,,
11982.5,2.5411691240151413e-05,,
11982.55,5.696900188922882e-05,,
11982.6,6.105381908128038e-05,,
11982.65,5.6781300372676924e-05,,
11982.7,2.851152021321468e-05,,
11982.75,1.8508526409277692e-05,,
11982.8,3.40861952281557e-05,,
11982.85,2.6597237592795864e-05,,
11982.9,2.3723810954834335e-05,,
11982.95,4.7244055167539045e-05,,
11983.0,5.886584040126763e-05,,
11983.05,4.221538983983919e-05,,
11983.1,3.421971632633358e-05,,
11983.15,4.195206201984547e-05,,
11983.2,6.793355714762583e-05,,
11983.25,8.699023601366207e-05,,
11983.3,7.339080912061036e-05,,
11983.35,5.157765554031357e-05,,
11983.4,4.1177099774358794e-05,,
11983.45,3.5178189136786386e-05,,
11983.5,7.565100986539619e-06,,
11983.55,6.38325946056284e-05,,
11983.6,8.942082786234096e-05,,
11983.65,7.281627767952159e-05,,
11983.7,5.5673011956969276e-05,,
11983.75,6.63739992887713e-05,,
11983.8,0.00010214649955742061,,
11983.85,0.0001254221861017868,,
11983.9,0.0001219171826960519,,
11983.95,9.536834841128439e-05,,
11984.0,5.861339741386473e-05,,
11984.05,4.068580528837629e-05,,
11984.1,3.708987787831575e-05,,
11984.15,1.6568204955547117e-05,,
11984.2,4.3644064135150984e-05,,
11984.25,7.508951966883615e-05,,
11984.3,8.4271865489427e-05,,
11984.35,5.8670961152529344e-05,,
11984.4,3.3525240723975e-05,,
11984.45,2.1632513380609453e-05,,
11984.5,2.357842640776653e-05,,
11984.55,3.784255022765137e-05,,
11984.6,4.8730849812272936e-05,,
11984.65,6.31576040177606e-05,,
11984.7,7.711119542364031e-05,,
11984.75,8.034588972805068e-05,,
11984.8,6.301947723841295e-05,,
11984.85,3.734691927093081e-05,,
11984.9,2.8878775992779993e-05,,
11984.95,1.844460166466888e-05,,
11985.0,5.399226938607171e-05,,
11985.05,7.659493712708354e-05,,
11985.1,6.063751789042726e-05,,
11985.15,5.32257545273751e-05,,
11985.2,6.872249650768936e-05,,
11985.25,5.788297130493447e-05,,
11985.3,3.879814539686777e-05,,
11985.35,2.9840151910320856e-05,,
11985.4,4.015900776721537e-05,,
11985.45,6.242687231861055e-05,,
11985.5,5.395967309596017e-05,,
11985.55,3.627323530963622e-05,,
11985.6,2.42156474996591e-05,,
11985.65,2.1263766029733233e-05,,
11985.7,1.2868797057308257e-05,,
11985.75,2.117391341016628e-05,,
11985.8,2.994217175000813e-05,,
11985.85,3.771398769458756e-05,,
11985.9,3.738926170626655e-05,,
11985.95,4.283752787159756e-05,,
11986.0,8.76457997947e-05,,
11986.05,0.00010973711323458701,,
11986.1,6.990653491811827e-05,,
11986.15,6.11251880400232e-06,,
11986.2,4.972762690158561e-05,,
11986.25,4.95701351610478e-05,,
11986.3,4.2565836338326335e-05,,
11986.35,4.364970664028078e-05,,
11986.4,1.6736186807975173e-05,,
11986.45,3.643304080469534e-05,,
11986.5,4.851630365010351e-05,,
11986.55,1.867342507466674e-05,,
11986.6,4.220993287162855e-05,,
11986.65,3.752689735847525e-05,,
11986.7,2.3805601813364774e-05,,
11986.75,5.5942706239875406e-05,,
11986.8,6.143248174339533e-05,,
11986.85,5.144459646544419e-05,,
11986.9,5.1369275752222165e-05,,
11986.95,7.779566658427939e-05,,
11987.0,8.062304550549015e-05,,
11987.05,4.877899118582718e-05,,
11987.1,6.295502680586651e-05,,
11987.15,7.590431778226048e-05,,
11987.2,6.656310142716393e-05,,
11987.25,9.209239215124398e-05,,
11987.3,8.34446182125248e-05,,
11987.35,3.326102887513116e-05,,
11987.4,1.1530406482052058e-05,,
11987.45,3.014585490745958e-05,,
11987.5,3.493779877317138e-05,,
11987.55,3.3426455047447234e-05,,
11987.6,3.8011770811863244e-05,,
11987.65,4.458891271497123e-05,,
11987.7,6.289980956353247e-05,,
11987.75,8.666813664603978e-05,,
11987.8,8.112304203677922e-05,,
11987.85,5.423373295343481e-05,,
