Frequency (MHz),Intensity,Center Freq,Cavity Position
12022.15,4.292734956834465e-05,12032.0,25.52045029033918
12022.2,3.769556860788725e-05,,
12022.25,2.396948912064545e-05,,
12022.3,3.710004193635541e-06,,
12022.35,3.4296419471502304e-05,,
12022.4,4.876044113188982e-05,,
12022.45,3.990871846326627e-05,,
12022.5,2.6676734705688432e-05,,
12022.55,2.3630534997209907e-05,,
12022.6,3.126744559267536e-05,,
12022.65,3.802589708357118e-05,,
12022.7,4.602384797181003e-05,,
12022.75,7.141585228964686e-05,,
12022.8,8.275119762402028e-05,,
12022.85,5.478494131239131e-05,,
12022.9,1.4626316442445386e-05,,
12022.95,1.8670678400667384e-05,,
12023.0,2.2521986466017552e-05,,
12023.05,1.664551928115543e-05,,
12023.1,1.8910798189608613e-06,,
12023.15,1.119035641750088e-05,,
12023.2,2.181028321501799e-05,,
12023.25,3.3442953281337395e-05,,
12023.3,3.4663058613659814e-05,,
12023.35,2.399941331532318e-05,,
12023.4,9.76850697043119e-06,,
12023.45,1.353720926999813e-05,,
12023.5,2.7140755264554173e-05,,
12023.55,1.4572453437722288e-05,,
12023.6,8.674933269503526e-06,,
12023.65,1.0710629794630222e-05,,
12023.7,1.5917687051114626e-05,,
12023.75,2.429996311548166e-05,,
12023.8,3.6143523175269365e-05,,
12023.85,5.346791658666916e-05,,
12023.9,4.7202189307427034e-05,,
12023.95,2.2717806132277474e-05,,
12024.0,1.598775270394981e-05,,
12024.05,2.0335470253485255e-05,,
12024.1,2.298951949342154e-05,,
12024.15,3.0957762646721676e-05,,
12024.2,3.02408716379432e-05,,
12024.25,1.9241462723584846e-05,,
12024.3,1.4599561836803332e-05,,
12024.35,8.216797141358256e-06,,
12024.4,4.569335578707978e-05,,
12024.45,5.739023981732316e-05,,
12024.5,3.31995433953125e-05,,
12024.55,2.232094448118005e-05,,
12024.6,2.3874134058132768e-05,,
12024.65,1.67309681273764e-05,,
12024.7,1.5498266293434426e-05,,
12024.75,1.1713649655575864e-05,,
12024.8,4.028234980069101e-05,,
12024.85,5.202778265811503e-05,,
12024.9,4.2527608457021415e-05,,
12024.95,3.051893145311624e-05,,
12025.0,2.5300487322965637e-05,,
12025.05,2.6712230464909226e-05,,
12025.1,5.048912134952843e-05,,
12025.15,4.570915916701779e-05,,
12025.2,2.7986456188955344e-05,,
12025.25,3.46706437994726e-05,,
12025.3,3.477067002677359e-05,,
12025.35,2.879452586057596e-05,,
12025.4,2.3454485926777124e-05,,
12025.45,1.4720511899213307e-05,,
12025.5,8.689433343533892e-06,,
12025.55,1.8336153516429476e-05,,
12025.6,2.251811747555621e-05,,
12025.65,1.982627327379305e-05,,
12025.7,1.7476028006058186e-05,,
12025.75,8.307266398333013e-06,,
12025.8,2.753492481133435e-05,,
12025.85,5.457973020384088e-05,,
12025.9,5.162200613995083e-05,,
12025.95,5.033153865952045e-05,,
12026.0,6.979736645007506e-05,,
12026.05,5.480045365402475e-05,,
12026.1,2.347076588193886e-05,,
12026.15,1.0130434930033516e-05,,
12026.2,1.2125071407353971e-05,,
12026.25,7.339967396546854e-06,,
12026.3,3.004907011927571e-05,,
12026.35,5.6367975048488006e-05,,
12026.4,5.7866905990522355e-05,,
12026.45,3.987413947470486e-05,,
12026.5,2.1126208594068885e-05,,
12026.55,2.2272863134276122e-05,,
12026.6,2.537408727221191e-05,,
12026.65,3.1078488973435014e-05,,
12026.7,4.864437141804956e-05,,
12026.75,4.399929093779065e-05,,
12026.8,1.4999435734353028e-05,,
12026.85,3.998028114438057e-05,,
12026.9,6.257904169615358e-05,,
12026.95,5.323609002516605e-05,,
12027.0,2.9828430342604406e-05,,
12027.05,2.373121060372796e-05,,
12027.1,3.422216104809195e-05,,
12027.15,4.552841346594505e-05,,
12027.2,4.657250610762276e-05,,
12027.25,2.9523896955652162e-05,,
12027.3,1.315453937422717e-05,,
12027.35,4.0039394662017e-05,,
12027.4,3.604078301577829e-05,,
12027.45,2.5734425435075536e-05,,
12027.5,2.705448969209101e-05,,
12027.55,4.015080048702657e-05,,
12027.6,4.549110963125713e-05,,
12027.65,4.056282341480255e-05,,
12027.7,4.2428560846019536e-05,,
12027.75,6.0831054724985734e-05,,
12027.8,7.365521014435217e-05,,
12027.85,6.82832978782244e-05,,
12027.9,4.883229485130869e-05,,
12027.95,2.3836468244553544e-05,,
12028.0,5.692925333278254e-05,,
12028.05,6.296621722867712e-05,,
12028.1,2.6724686904344708e-05,,
12028.15,2.5919793188222684e-05,,
12028.2,6.157771713333204e-05,,
12028.25,9.005419997265562e-05,,
12028.3,8.477889059577137e-05,,
12028.35,3.1034782296046615e-05,,
12028.4,6.447418127208948e-05,,
12028.45,8.403556421399117e-05,,
12028.5,7.310303044505417e-05,,
12028.55,8.673745469423011e-05,,
12028.6,8.525321027263999e-05,,
12028.65,6.177969044074416e-05,,
12028.7,2.5740651835803874e-05,,
12028.75,3.477952486719005e-05,,
12028.8,9.732532635098323e-05,,
12028.85,0.00011214355617994443,,
12028.9,7.682768773520365e-05,,
12028.95,2.5934070436051115e-05,,
12029.0,2.7437245080363937e-05,,
12029.05,3.0323331884574145e-05,,
12029.1,4.976845229975879e-05,,
12029.15,6.367216701619327e-05,,
12029.2,6.555079016834497e-05,,
12029.25,6.880825822008774e-05,,
12029.3,8.75906043802388e-05,,
12029.35,8.791971049504355e-05,,
12029.4,8.280093607027084e-05,,
12029.45,9.293594484915957e-05,,
12029.5,8.678725134814158e-05,,
12029.55,3.297493458376266e-05,,
12029.6,3.565277802408673e-05,,
12029.65,6.34945317870006e-05,,
12029.7,7.330275548156351e-05,,
12029.75,9.918762225424871e-05,,
12029.8,0.00015235348837450147,,
12029.85,0.00016062638314906508,,
12029.9,0.00010191876936005428,,
12029.95,4.7399204049725085e-05,,
12030.0,4.01784127461724e-05,,
12030.05,4.027421891805716e-05,,
12030.1,2.7704054446076043e-05,,
12030.15,1.9180441086064093e-05,,
12030.2,4.330675437813625e-05,,
12030.25,3.550104156602174e-05,,
