Frequency (MHz),Intensity,Center Freq,Cavity Position
12059.15,1.0186524377786554e-05,12069.0,26.421415712433944
12059.2,8.861803507898003e-06,,
12059.25,1.7008313079713844e-05,,
12059.3,1.99679361685412e-05,,
12059.35,4.39279101556167e-05,,
12059.4,3.920468589058146e-05,,
12059.45,1.2132691153965425e-05,,
12059.5,3.2316067517967895e-05,,
12059.55,2.4525892513338476e-05,,
12059.6,2.6102670744876377e-05,,
12059.65,3.0233562938519754e-05,,
12059.7,1.289579267904628e-05,,
12059.75,1.0151552487513982e-05,,
12059.8,1.731199699861463e-05,,
12059.85,7.944448043417651e-06,,
12059.9,1.535713454359211e-05,,
12059.95,2.584585308795795e-05,,
12060.0,2.87563289020909e-05,,
12060.05,2.841810965037439e-05,,
12060.1,1.371668440697249e-05,,
12060.15,1.781950777512975e-05,,
12060.2,3.84295781259425e-05,,
12060.25,2.230538120784331e-05,,
12060.3,1.2712456737062894e-05,,
12060.35,2.44231523538474e-05,,
12060.4,1.3676044545718469e-05,,
12060.45,1.8311451640329324e-05,,
12060.5,3.732854383997619e-05,,
12060.55,3.859129355987534e-05,,
12060.6,2.3155402232077904e-05,,
12060.65,1.0759617907751817e-05,,
12060.7,2.1158479285077192e-05,,
12060.75,3.1816656701266766e-05,,
12060.8,3.373380968696438e-05,,
12060.85,3.9074682717910036e-05,,
12060.9,4.174343848717399e-05,,
12060.95,3.231027949368581e-05,,
12061.0,1.8978551452164538e-05,,
12061.05,1.4988608199928422e-05,,
12061.1,6.635305453528417e-06,,
12061.15,2.5209394152625464e-05,,
12061.2,4.507144694798626e-05,,
12061.25,4.49953404313419e-05,,
12061.3,3.1597162887919694e-05,,
12061.35,1.7974311049329117e-05,,
12061.4,1.6782578313723207e-05,,
12061.45,1.734906436468009e-05,,
12061.5,2.6552106646704488e-05,,
12061.55,2.237122316728346e-05,,
12061.6,1.3931454304838553e-05,,
12061.65,2.1847894458915107e-05,,
12061.7,1.670293386268895e-05,,
12061.75,1.055171469488414e-05,,
12061.8,9.46052841754863e-06,,
12061.85,1.4471451322606299e-05,,
12061.9,2.9835448003723286e-05,,
12061.95,3.714210834004916e-05,,
12062.0,3.210339127690531e-05,,
12062.05,3.162545181112364e-05,,
12062.1,3.538818418746814e-05,,
12062.15,3.8681828300468624e-05,,
12062.2,4.174996865913272e-05,,
12062.25,1.70690800587181e-05,,
12062.3,2.810826299537439e-05,,
12062.35,2.8736936656059697e-05,,
12062.4,1.4365372180691338e-06,,
12062.45,2.756315006990917e-05,,
12062.5,4.3252544855931774e-05,,
